,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building
27,9750000.0,1412.0,19.29123434,72.87967664,3,3,5,Ready to Move,New Property,5,0,5,Flat
28,25500000.0,1450.0,19.216866,72.86649054,3,3,0,Ready to Move,Resale,0,0,0,Flat
29,39800000.0,1765.0,19.0038320445835,72.8505157603601,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
30,47500000.0,1818.0,18.9871633297704,72.82989199332809,3,3,2,Ready to Move,Resale,2,0,2,Flat
31,34000000.0,1355.0,19.11366241,72.84480702,3,3,1,Ready to Move,Resale,1,0,1,Flat
32,46300000.0,1415.0,19.1714,72.940339,3,3,1,0,New Property,1,Semi-Furnished,1,Flat
33,8600000.0,1045.0,19.293286,72.869699,2,2,4,Ready to Move,New Property,4,0,4,Flat
34,20000000.0,965.0,19.028609,72.8794,2,2,0,Ready to Move,Resale,0,0,0,Flat
35,33500000.0,2560.0,19.157602,72.945243,3,3,1,Ready to Move,New Property,1,Unfurnished,1,Flat
36,62500000.0,1500.0,18.99706,72.818401,3,3,0,Ready to Move,Resale,0,0,0,Flat
37,47000000.0,2195.0,19.16989,72.863761,3,4,0,Ready to Move,Resale,0,0,0,Flat
38,18500000.0,1175.0,19.057437,72.905785,2,2,0,0,New Property,0,Unfurnished,0,Flat
39,28000000.0,983.0,19.03731,72.87871,2,2,3,Ready to Move,Resale,3,0,3,Flat
40,12500000.0,1031.0,19.16885607,72.87786054,2,2,0,Ready to Move,Resale,0,0,0,Flat
41,15500000.0,1255.0,19.1590077,72.86927109999999,2,2,0,0,New Property,0,Unfurnished,0,Flat
42,36500000.0,1600.0,19.03731,72.87871,3,3,4,Ready to Move,Resale,4,0,4,Flat
43,44500000.0,2500.0,19.0531452,72.902321,4,4,0,Ready to Move,Resale,0,0,0,Flat
44,4850000.0,950.0,19.398905,72.84184,2,2,3,0,New Property,3,Unfurnished,3,Flat
45,40599999.99999999,2800.0,19.183819,72.86111600000001,4,4,4,0,New Property,4,Unfurnished,4,Flat
46,26000000.0,1350.0,19.02814292907715,72.87950134277344,2,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
47,41500000.0,2205.0,19.1547839,72.8540607,3,3,2,Ready to Move,Resale,2,Semi-Furnished,2,Individual House
48,60000000.0,1976.0,19.046912,72.90759,3,2,2,0,New Property,2,Semi-Furnished,2,Flat
49,9420000.0,1060.0,19.2874366666667,72.877361,2,3,4,Ready to Move,New Property,4,0,4,Flat
50,15200000.0,1084.0,19.058647,72.879248,2,2,0,Ready to Move,New Property,0,0,0,Flat
51,26400000.0,1650.0,19.171175,72.94032800000001,3,3,0,0,New Property,0,Unfurnished,0,Flat
52,14600000.0,913.0,19.24198,72.83565,2,2,0,0,New Property,0,Unfurnished,0,Flat
53,32500000.0,1034.0,19.2248756,72.86314300000001,3,3,0,0,New Property,0,Unfurnished,0,Flat
54,27500000.0,1260.0,19.023906707763672,72.86747741699219,3,3,0,Ready to Move,Resale,0,Semi-Furnished,0,Flat
55,17500000.0,1175.0,19.043911,72.89877800000001,2,2,0,0,New Property,0,Unfurnished,0,Flat
56,17000000.0,1100.0,19.133092,72.93475,2,2,1,0,New Property,1,Unfurnished,1,Flat
57,120000000.0,3000.0,19.138865,72.834731,6,4,2,Ready to Move,Resale,2,0,2,Flat
58,30000000.0,1094.0,19.046959,72.915291,3,3,0,0,New Property,0,Unfurnished,0,Flat
59,27000000.0,1550.0,19.1714,72.940339,3,3,3,0,Resale,3,Unfurnished,3,Flat
60,15300000.0,1181.0,19.068051,72.89605,2,2,0,0,New Property,0,Unfurnished,0,Flat
61,36000000.0,875.0,19.0175169,72.84711690000002,2,2,0,0,New Property,0,Unfurnished,0,Flat
62,63000000.0,1669.0,19.081175,72.84143900000001,3,3,1,0,New Property,1,Unfurnished,1,Flat
63,13400000.0,1035.0,19.10005168,72.88491275,2,2,0,0,New Property,0,Unfurnished,0,Flat
64,55500000.0,1775.0,19.0787080118698,72.8402855073601,3,3,0,0,New Property,0,Semi-Furnished,0,Flat
65,49000000.0,2252.0,18.99331,72.847938,3,3,0,0,Resale,0,Semi-Furnished,0,Flat
66,22500000.0,1390.0,19.183819,72.86111600000001,2,2,3,Ready to Move,Resale,3,Unfurnished,3,Flat
67,18700000.0,1014.0,19.16668,72.94845,2,2,1,0,New Property,1,Unfurnished,1,Flat
68,50000000.0,2000.0,19.13844,72.812187,3,3,2,Ready to Move,Resale,2,0,2,Flat
69,21200000.0,1400.0,19.1709035,72.8510933,2,2,2,Ready to Move,Resale,2,Semi-Furnished,2,Flat
70,14900000.0,1350.0,19.263496,72.875621,3,3,5,0,New Property,5,Unfurnished,5,Flat
71,12800000.0,1545.0,19.28217,72.87654,3,3,4,0,New Property,4,Unfurnished,4,Flat
72,9600000.0,1055.0,19.265946,72.880409,2,2,4,0,New Property,4,Unfurnished,4,Flat
73,55000000.0,1866.0,19.114625,72.88469599999999,4,6,1,0,New Property,1,Unfurnished,1,Flat
74,13799999.999999998,1070.0,19.259015,72.854824,2,2,1,0,New Property,1,Unfurnished,1,Flat
75,16800000.0,1144.0,19.195988,72.868512,2,2,1,0,Resale,1,Unfurnished,1,Flat
